bin__tipo_laboral_Independiente,poly__tipo_credito_4,poly__tipo_credito_6,poly__tipo_credito_9,poly__tipo_credito_10,num__capital_prestado,num__edad_cliente,num__salario_cliente,num__total_otros_prestamos,num__cuota_pactada,num__puntaje_datacredito,num__cant_creditosvigentes,num__huella_consulta,num__saldo_mora,num__saldo_principal,num__creditos_sectorCooperativo,num__creditos_sectorReal,Pago_atiempo
0.0,1.0,0.0,0.0,0.0,840000.0,60.0,3000000.0,2000000.0,124876.0,789.0,3.0,1.0,0.0,8673.0,0.0,2.0,1
1.0,0.0,0.0,1.0,0.0,5974028.399999999,36.0,4036000.0,829000.0,529554.0,740.0,4.0,5.0,0.0,18702.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,1671240.0,48.0,1524547.0,498000.0,252420.0,837.0,4.0,4.0,0.0,15782.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0.0,2781636.0,44.0,5000000.0,4000000.0,217037.0,771.0,4.0,6.0,0.0,204804.0,0.0,1.0,1
0.0,1.0,0.0,0.0,0.0,1031928.0,32.0,2800000.0,800000.0,82872.0,721.0,10.0,13.0,0.0,24399.0,0.0,8.0,1
1.0,1.0,0.0,0.0,0.0,3064280.4,68.0,1000000.0,22005000.0,461231.0,814.0,11.0,8.0,0.0,211775.0,3.0,0.0,1
0.0,1.0,0.0,0.0,0.0,3619560.0,31.0,3782303.0,305000.0,542079.0,760.0,1.0,5.0,0.0,12078.0,1.0,0.0,1
0.0,0.0,0.0,1.0,0.0,2134827.6,31.0,14500000.0,8000000.0,181732.0,737.0,0.0,2.0,0.0,14442.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,8400000.0,45.0,14000000.0,5000000.0,1166667.0,752.0,4.0,3.0,0.0,125383.0,0.0,0.0,1
1.0,0.0,0.0,1.0,0.0,1269000.0,61.0,5000000.0,2000000.0,336766.0,708.0,11.0,15.0,0.0,157581.0,2.0,3.0,1
0.0,1.0,0.0,0.0,0.0,2236561.2,58.0,2800000.0,400000.0,175932.0,754.0,10.0,2.0,0.0,56437.0,0.0,3.0,1
1.0,1.0,0.0,0.0,0.0,4284000.0,66.0,8000000.0,2400000.0,486710.0,809.0,5.0,4.0,0.0,34874.0,0.0,1.0,1
1.0,1.0,0.0,0.0,0.0,2969520.0,61.0,4000000.0,1500000.0,232992.0,858.0,5.0,2.0,0.0,56774.0,0.0,1.0,1
0.0,1.0,0.0,0.0,0.0,1798440.0,52.0,1800000.0,100000.0,140941.0,795.0,4.0,2.0,0.0,11296.0,0.0,1.0,1
1.0,1.0,0.0,0.0,0.0,2760000.0,43.0,2500000.0,800000.0,216838.0,861.0,3.0,0.0,0.0,30260.0,2.0,0.0,1
1.0,1.0,0.0,0.0,0.0,4344000.0,43.0,20000000.0,10000000.0,645827.0,838.0,5.0,1.0,0.0,4223.0,1.0,1.0,1
0.0,1.0,0.0,0.0,0.0,1131900.0,34.0,1500000.0,480000.0,168281.0,847.0,2.0,3.0,0.0,35.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,1200000.0,68.0,4000000.0,2500000.0,178476.0,766.0,4.0,3.0,0.0,7506.0,0.0,0.0,0
